handle,*special,2-sat,binary search,bitmasks,brute force,chinese remainder theorem,combinatorics,constructive algorithms,data structures,dfs and similar,divide and conquer,dp,dsu,expression parsing,fft,flows,games,geometry,graph matchings,graphs,greedy,hashing,implementation,interactive,math,matrices,meet-in-the-middle,number theory,probabilities,schedules,shortest paths,sortings,string suffix structures,strings,ternary search,trees,two pointers
Div1828,0,0,18,19,55,0,6,56,23,1,1,19,1,0,0,0,12,4,0,1,145,2,74,2,113,0,0,31,0,1,1,49,0,28,0,1,19
Safe__,0,1,37,22,74,1,10,91,17,5,0,32,2,0,0,1,11,9,2,4,178,0,84,0,183,0,0,48,0,0,2,54,0,34,0,3,23
ddungsam,0,0,4,4,12,0,0,8,3,0,0,5,2,0,0,0,3,1,0,0,27,0,11,0,14,0,0,3,0,0,0,8,0,7,0,2,1
chavix,1,0,8,3,16,0,0,16,5,1,0,5,0,0,0,0,0,1,1,2,37,1,47,0,33,0,0,5,0,0,2,13,0,21,1,0,2
DJ1007,0,0,53,21,92,1,19,107,44,8,2,39,8,0,0,1,17,11,1,9,225,1,107,2,170,2,0,40,2,1,0,61,0,37,4,4,31
kiaram2011,3,0,25,13,56,0,5,54,18,7,0,37,1,1,0,0,6,8,2,5,148,3,152,6,115,0,0,31,0,0,3,56,0,38,0,3,15
sharmakshat19,1,2,115,58,197,0,43,204,102,36,5,119,21,0,0,1,27,21,0,44,422,10,196,6,348,4,0,95,4,2,7,155,0,70,2,19,68
srinadh777,0,0,24,13,29,0,3,23,15,2,0,25,4,0,0,1,4,3,1,3,80,1,37,0,54,0,0,12,1,0,0,23,0,19,0,3,14
RadimirK,4,0,15,13,42,0,7,32,14,6,2,19,3,0,0,0,1,3,1,7,56,1,48,3,65,0,0,17,1,0,6,16,0,14,1,0,6
achieverchen,0,0,4,3,12,0,2,13,6,2,0,9,0,0,0,0,1,1,0,2,31,1,18,0,25,0,0,4,0,0,0,10,0,7,1,1,3
Korosuke_12,1,0,17,13,34,0,8,33,24,15,0,32,13,0,0,0,5,4,0,14,95,0,30,2,74,1,0,15,0,0,2,28,0,18,0,10,13
Isa231,3,0,15,12,53,0,5,71,9,5,0,14,3,0,0,0,10,9,2,7,138,1,55,4,117,0,0,22,2,0,0,34,1,18,0,4,10
altayeb_132,1,0,12,2,25,0,4,25,7,6,0,11,1,0,0,1,6,2,3,4,43,0,72,3,51,0,0,8,5,0,2,18,0,20,0,1,4
asm_rayhan,3,0,182,53,353,1,44,309,180,59,9,241,24,0,0,2,49,26,3,64,700,25,549,8,578,5,0,136,4,3,22,229,10,163,5,32,119
satwika_55,1,0,39,8,70,0,17,65,28,6,1,28,5,0,0,0,12,7,1,6,158,0,79,0,137,3,0,30,0,0,0,64,1,28,2,3,29
Blessy_23,1,0,6,7,19,0,3,16,11,3,2,11,0,0,0,0,5,1,0,7,40,2,24,4,34,1,0,6,1,0,1,13,0,6,1,5,6
Bakytz7zaN,7,1,71,32,214,1,17,201,49,19,3,71,8,2,0,1,29,26,6,19,449,5,398,14,432,0,1,78,4,1,3,149,2,124,4,4,51
break_M,0,0,46,39,71,0,18,150,49,14,4,51,9,0,0,1,15,12,1,16,216,3,80,10,160,0,0,39,6,1,7,50,0,26,3,12,22
Kooty-Shatoor,0,0,5,8,27,0,0,23,5,13,0,4,7,0,0,0,3,1,0,21,62,1,34,0,41,0,0,7,0,0,3,17,0,7,0,4,4
InsanityLemon,0,0,26,16,50,0,5,36,18,3,2,23,4,0,0,0,4,9,0,6,104,1,72,5,85,0,0,21,2,1,1,25,0,21,1,5,11
Satyam_Singh019,10,0,28,27,126,1,15,131,28,10,3,33,1,0,0,1,18,14,3,9,244,5,175,4,236,1,0,64,2,1,3,74,1,69,1,5,19
Haidar.alhakeem,3,0,25,26,106,1,17,101,23,26,1,52,11,1,0,0,17,9,4,36,226,1,181,9,179,2,0,31,2,1,9,52,0,60,0,16,21
_Ankesh,1,0,88,48,135,0,23,141,67,27,4,83,7,0,0,3,32,19,5,31,335,6,143,1,258,2,0,56,1,1,14,107,1,55,5,17,54
LLLLLYR,0,0,6,3,10,0,1,9,3,4,1,6,1,0,0,0,2,0,1,6,30,0,16,3,19,0,0,2,0,0,0,8,0,3,3,3,7
