handle,*special,2-sat,binary search,bitmasks,brute force,chinese remainder theorem,combinatorics,constructive algorithms,data structures,dfs and similar,divide and conquer,dp,dsu,expression parsing,fft,flows,games,geometry,graph matchings,graphs,greedy,hashing,implementation,interactive,math,matrices,meet-in-the-middle,number theory,probabilities,schedules,shortest paths,sortings,string suffix structures,strings,ternary search,trees,two pointers
devalsinghal,1,0,9,4,31,0,4,27,5,1,0,11,1,0,0,0,6,4,0,0,73,0,59,0,73,0,0,13,0,0,1,26,0,27,1,1,5
DINESH_MADDY,0,0,0,2,7,0,0,6,2,2,0,3,1,0,0,0,1,0,0,1,21,0,10,1,23,0,0,3,0,0,0,7,0,6,0,3,1
sarthaksaw25,1,0,7,5,40,0,7,35,11,2,0,21,0,0,0,1,6,1,0,2,92,1,51,0,85,0,0,19,0,1,0,30,0,22,1,2,17
-parshv-,0,0,12,8,30,0,3,37,15,2,0,8,0,0,0,0,8,1,1,1,88,1,37,1,80,0,0,20,0,0,0,27,0,19,0,1,12
parzivalfowl,1,1,25,15,65,0,11,61,29,17,1,41,8,0,0,0,11,4,2,17,146,1,80,3,118,0,0,36,2,0,3,48,1,26,1,13,21
ItzShuvrodip,0,0,4,4,15,0,2,22,8,1,0,6,1,0,0,0,6,0,0,1,42,0,11,0,33,0,0,10,0,0,0,7,0,7,0,0,7
sticker_peeler,1,1,20,19,75,0,9,81,19,4,0,28,1,0,0,0,19,13,0,4,165,2,110,0,145,0,0,32,1,1,1,52,1,40,3,2,15
ShreyBhut,4,0,26,20,71,0,10,77,19,1,0,27,1,0,0,0,16,12,1,1,180,2,78,1,155,0,0,35,1,0,1,50,1,34,0,2,29
re7,0,0,4,4,4,0,1,7,2,0,0,5,1,0,0,0,0,0,0,1,19,0,8,1,10,0,0,1,1,0,1,3,0,3,1,1,3
sujith.M,1,0,10,8,53,0,6,47,8,1,0,14,1,0,0,0,6,3,2,0,117,0,97,0,110,0,0,24,0,0,1,31,0,31,0,0,15
Ezim,3,0,23,11,79,1,4,55,15,15,0,18,5,0,0,0,7,7,2,12,139,3,161,0,145,0,0,31,0,0,4,44,0,48,1,3,15
zetrocodes,4,2,84,32,122,1,15,117,58,10,2,69,8,0,1,3,17,15,1,14,270,3,134,3,220,2,0,52,2,4,4,88,1,51,4,7,40
jyotirmoybezbarua63,0,0,10,9,39,0,5,52,6,0,1,11,0,0,0,0,4,6,0,2,99,1,47,2,78,0,0,15,1,1,0,26,0,16,0,1,13
sandeepkumar9,2,0,19,13,103,2,9,114,13,4,0,19,1,1,0,0,16,13,3,4,225,2,235,0,259,1,0,35,1,0,1,70,1,69,1,0,15
arpit45_8,0,1,85,68,140,0,43,194,94,23,6,102,17,0,0,3,28,21,2,23,367,5,168,11,351,3,0,102,2,2,5,112,0,54,2,16,50
Spidey_2711,2,1,44,27,75,0,9,82,37,21,3,81,11,0,0,2,9,3,3,27,184,4,102,5,135,1,0,30,1,0,3,47,0,25,0,11,25
Hssaan_SundarSTEM,12,0,121,71,255,1,55,296,118,61,8,163,27,3,0,0,47,28,6,50,602,9,429,21,565,4,0,124,6,3,11,186,1,133,5,38,82
Anant-27,0,0,1,2,10,0,1,9,1,3,0,4,1,0,0,0,1,0,0,3,22,0,13,0,18,0,0,3,0,0,1,7,0,11,0,0,0
shamima_ananna,2,0,58,38,136,1,15,153,59,9,1,50,12,0,0,1,20,17,3,14,316,4,149,4,269,3,0,71,3,0,4,99,1,55,3,7,37
AV_1412,0,0,35,28,57,0,13,61,30,7,2,39,4,0,0,1,9,6,0,6,151,2,58,2,136,1,0,37,0,0,1,51,0,25,0,8,34
ibrahim_036,0,0,7,10,23,0,3,25,5,2,2,14,1,0,0,0,7,1,0,2,66,1,32,0,41,0,0,10,1,0,1,14,0,9,2,3,6
NoSkillIssues,0,0,16,5,33,0,6,36,15,4,0,17,0,0,0,0,6,3,0,4,80,1,66,5,56,2,0,15,0,1,2,30,0,20,2,2,10
_gargrohit0208,0,0,32,33,64,0,15,80,37,2,3,38,1,0,0,1,14,8,0,1,187,2,75,2,167,1,0,45,0,0,0,63,0,25,0,0,29
Zhang_Zhihang,0,0,8,5,15,0,1,9,8,0,0,9,4,0,0,0,2,0,0,2,38,0,21,1,27,0,0,4,0,0,1,15,0,5,1,1,4
Lyr1c,0,0,17,14,40,0,6,64,15,3,0,16,5,0,0,0,9,3,1,7,123,1,53,0,83,0,0,31,0,0,1,30,0,17,0,2,17
mahmoud_seif,1,0,63,45,97,0,9,93,44,31,1,49,7,0,0,0,16,11,2,29,226,5,166,6,171,0,1,50,2,1,10,69,0,41,3,16,37
Jyotier,3,0,37,34,125,1,11,142,32,6,0,40,5,0,0,0,23,15,3,10,278,1,152,7,224,1,0,49,2,2,3,78,1,47,0,5,26
raihanwahid16,5,1,147,73,269,1,51,294,121,50,8,167,17,2,0,2,39,30,4,40,654,13,399,15,546,2,1,120,5,2,11,208,1,156,7,46,104
sanju1221,1,1,137,53,233,1,37,208,132,53,11,163,25,1,1,2,29,23,4,42,449,15,265,14,394,4,0,96,3,2,10,145,0,86,6,34,82
jhanvi.857,2,0,9,6,40,0,2,23,7,1,0,15,0,1,0,0,3,1,1,3,62,2,96,0,76,0,0,13,1,0,2,23,0,25,0,1,9
grinssah9,0,0,28,21,49,0,7,48,24,5,0,26,1,0,0,1,4,7,0,3,126,2,48,2,102,0,0,28,1,0,1,53,0,24,0,5,29
noscoped33,0,1,13,7,36,0,5,44,8,5,1,23,2,0,0,0,10,8,1,4,87,1,32,1,69,1,0,11,1,0,2,31,0,14,0,3,14
Gaurish16,1,0,16,10,22,0,3,18,2,5,0,22,2,0,0,0,3,0,0,8,42,1,24,1,34,1,0,13,0,0,3,16,0,9,1,0,5
Aditya_Adhana,1,0,4,3,23,0,2,22,3,0,0,4,0,0,0,0,4,2,0,2,58,0,37,0,51,0,0,9,0,0,1,17,0,10,0,0,3
Luffy100,0,0,0,3,6,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,11,0,5,0,13,0,0,1,0,0,0,3,0,2,0,0,1
xuantungbell,0,0,1,5,11,0,1,9,5,0,1,4,1,0,0,0,0,2,0,2,24,0,6,0,12,0,0,3,0,0,2,4,0,2,0,0,2
Bot_guy,0,0,1,8,19,0,3,32,10,0,0,2,0,0,0,0,1,4,0,1,72,0,43,0,50,0,0,6,0,0,1,19,0,16,0,1,10
sidchauhan,1,0,44,26,90,0,14,113,38,4,0,38,5,0,0,1,17,11,1,7,249,2,135,0,209,0,0,46,1,0,1,83,0,56,1,2,45
Varun-Gupta,7,0,60,33,125,1,27,139,61,29,7,85,12,0,0,1,29,20,2,24,271,5,172,9,241,1,0,56,0,2,10,87,1,48,4,25,42
Sachin_4571,0,0,51,32,91,0,20,96,53,15,5,71,5,0,0,0,11,14,2,13,213,2,95,2,179,2,0,49,3,0,4,76,1,34,2,14,45
sachin_t223,0,0,6,12,20,0,2,41,7,3,0,5,0,0,0,0,4,3,0,3,79,1,39,3,58,0,0,14,2,1,2,19,0,11,1,0,11
Sidhant08,4,1,93,39,137,1,36,142,63,20,6,85,13,0,1,0,18,19,2,17,311,4,134,18,265,1,0,72,4,0,3,113,1,41,6,15,52
guptafactory,14,1,103,64,246,0,28,317,94,25,4,102,12,1,0,1,37,25,7,23,567,6,423,7,515,3,1,107,2,0,9,197,2,136,7,11,70
procoder07,0,0,9,10,21,0,6,19,13,2,0,14,2,0,0,0,1,1,0,4,47,1,21,0,48,1,0,13,0,0,1,12,0,13,0,4,7
Kishor_007,1,0,37,16,66,0,16,70,29,9,0,43,3,0,0,0,10,9,1,9,159,3,85,1,130,2,0,26,1,0,2,54,2,28,0,3,20
lovemumu,0,0,37,19,71,0,10,77,34,15,3,37,7,0,0,2,15,12,2,20,190,2,83,5,134,1,0,24,1,1,3,44,0,24,2,13,29
rohan2210,2,0,19,33,79,1,8,94,19,1,0,30,1,0,0,1,8,10,0,4,159,3,77,4,181,0,0,56,1,0,1,42,1,31,1,1,11
sanemiaintit,1,0,42,29,96,0,17,87,33,7,4,48,3,1,0,1,14,8,2,9,201,3,163,8,191,2,0,40,1,1,1,65,0,46,1,6,31
subham_3009,1,0,43,31,85,1,12,114,36,19,1,65,4,0,0,0,24,12,2,18,224,2,90,4,150,1,0,40,3,0,4,64,2,29,0,18,30
brucewayne7,0,1,32,22,81,1,17,88,36,17,2,50,6,0,1,3,15,13,3,20,175,3,135,4,134,0,1,34,1,1,4,59,0,27,1,15,21
mohiit03,0,0,26,21,38,0,7,53,26,4,2,22,4,0,0,0,9,7,1,5,126,2,38,3,85,1,0,27,0,1,0,37,0,14,0,8,21
IzayoiSakuye,3,1,32,21,58,0,10,59,34,7,2,29,7,0,0,1,10,9,1,8,145,0,83,1,115,1,0,29,1,0,1,38,1,28,1,8,25
s_tapan099,4,3,90,41,146,1,33,179,75,23,6,91,17,0,1,1,26,10,4,25,333,5,160,17,252,3,0,56,2,2,2,82,1,52,7,15,53
sony_27,2,1,100,50,182,0,31,196,113,55,3,122,20,2,0,2,27,20,1,52,419,9,285,2,332,1,1,74,2,3,12,162,0,89,5,44,62
omtm,0,0,1,1,1,0,1,2,0,1,0,3,0,0,0,0,1,1,0,2,10,0,7,1,7,0,0,0,0,0,1,4,0,2,0,1,0
nitingcj,0,0,57,20,95,1,17,100,51,7,2,44,2,0,0,2,13,9,0,7,235,2,149,0,200,0,0,37,1,1,3,76,0,38,4,7,28
Ramzi9,5,2,176,73,319,2,49,325,153,61,6,194,26,1,1,1,51,27,7,53,691,16,521,15,627,2,0,149,7,5,22,231,1,152,9,35,100
veryNobody,0,0,2,1,4,0,2,5,5,4,0,6,1,0,0,0,1,0,0,3,21,0,5,0,9,0,0,3,0,0,1,5,0,3,0,3,3
DeadliftsAndDFS,0,0,6,7,16,0,3,22,4,0,1,9,0,0,0,0,2,3,0,0,45,0,20,0,40,0,0,11,0,0,1,20,0,13,0,0,8
divyanshrajput91565,12,0,55,51,128,0,15,130,45,11,0,52,3,2,0,1,17,10,2,9,312,4,199,5,264,1,0,70,2,1,3,111,1,73,2,7,46
smaitra006,1,0,14,14,61,0,7,51,17,1,0,17,0,1,0,0,4,5,1,0,118,2,88,0,116,0,0,31,0,1,2,42,0,36,0,1,19
Shefooo,1,0,43,21,74,0,5,67,36,10,1,29,5,0,0,0,8,8,0,11,162,6,128,1,140,1,0,40,2,0,3,55,0,38,0,6,24
call_God,0,0,55,29,125,0,18,130,60,19,5,63,15,0,0,3,24,12,2,22,288,6,162,8,225,1,0,53,3,0,2,82,1,50,1,10,38
h_maano,1,0,15,16,68,0,5,77,18,2,0,18,3,0,0,0,9,8,1,1,171,1,74,5,146,0,0,33,1,1,1,49,0,33,0,2,22
Imposter__S,1,0,39,19,72,1,9,88,30,10,3,33,3,0,0,1,8,9,2,11,173,2,86,1,132,1,0,25,2,0,0,49,1,27,1,7,21
P3rp3tu4l,2,0,87,47,113,0,23,113,58,24,5,85,10,0,0,1,18,13,3,23,248,6,128,9,228,1,0,63,2,1,7,90,2,45,2,15,47
anirudh.vijan,1,0,19,8,59,0,9,52,14,5,1,21,2,0,0,0,7,4,1,5,106,0,79,2,97,1,0,17,0,0,0,35,0,29,2,2,8
greenofyu,0,0,15,6,19,0,2,15,8,3,1,16,0,0,0,1,3,3,0,2,44,1,32,0,47,0,0,6,1,0,0,8,0,8,0,0,3
julk4aa,0,0,1,1,4,0,0,5,0,0,0,6,0,0,0,0,0,2,0,1,10,0,6,0,9,0,0,2,0,0,1,0,0,1,1,1,0
RuchirSharma,3,0,21,14,50,0,6,65,11,2,0,17,4,1,0,0,6,11,0,3,121,1,74,3,130,0,0,30,2,0,0,24,0,29,0,3,17
BOT_GIAN,2,0,30,31,67,1,9,67,33,15,3,42,8,0,0,0,15,7,1,16,161,3,96,7,118,0,0,31,3,0,6,51,0,28,1,13,21
xiangxueyyds,0,0,14,5,30,0,2,18,7,3,0,11,3,0,0,0,4,3,0,4,57,2,42,0,54,0,0,9,2,0,1,13,0,11,0,3,8
infi9itea,4,0,67,47,147,0,14,144,58,20,1,67,5,1,0,0,20,18,1,22,297,6,231,5,278,2,0,60,2,1,6,99,1,60,4,10,40
rahul250702,0,0,19,15,38,0,8,49,22,5,0,21,4,0,0,0,13,1,0,3,111,0,67,0,84,0,0,16,0,0,1,33,0,27,0,3,14
RaghavChawla,0,0,49,28,104,1,17,131,40,7,1,39,4,0,0,0,22,13,5,11,272,4,141,9,225,2,0,56,3,1,2,80,0,50,4,3,36
Sarikaa_Shree_V,0,0,1,2,7,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,15,0,8,0,12,0,0,2,0,0,0,6,0,4,1,0,1
TheDude50,0,1,38,23,67,0,6,112,43,24,2,59,9,0,0,0,8,6,2,23,168,4,67,1,116,1,0,27,0,1,7,47,0,24,1,19,19
GunX2,2,0,4,4,13,0,0,7,3,0,0,4,0,0,0,0,1,3,0,0,30,0,25,0,26,0,0,6,0,0,0,12,0,12,0,0,1
dhruvrai,0,0,5,6,17,0,4,21,5,1,0,7,1,0,0,0,3,3,0,0,37,0,25,1,39,0,0,10,0,0,0,16,0,10,0,3,2
aarav_g_168,0,0,2,5,10,0,3,12,1,1,0,3,0,0,0,0,0,3,0,2,27,1,13,1,34,0,0,7,0,0,0,5,0,5,0,0,2
ghzin,2,0,4,5,28,0,2,11,4,0,0,8,1,0,0,0,3,0,0,0,45,2,53,0,35,0,0,3,0,0,0,18,0,20,0,0,2
Pushpak_174,1,0,10,17,27,0,4,57,9,1,0,7,0,0,0,0,5,2,1,0,82,2,51,0,67,0,0,17,0,0,0,22,0,20,0,0,8
vishanubhav,0,0,13,12,43,0,7,45,14,2,0,9,0,0,0,0,6,7,0,0,92,1,46,0,94,0,0,28,0,0,1,41,0,20,0,2,17
chyragym,0,1,12,8,54,0,9,78,11,3,0,18,3,0,0,0,6,11,0,3,147,1,76,1,137,1,0,27,3,0,0,43,0,32,0,1,18
Parth63,0,0,4,6,26,0,0,20,4,0,1,5,0,0,0,0,3,0,0,0,50,1,45,0,40,0,0,8,0,0,0,18,0,18,0,1,4
lakshyajohari,1,0,24,11,75,0,10,63,16,6,0,43,2,0,0,0,6,8,0,10,128,2,90,2,123,0,0,26,0,1,2,35,0,27,3,2,16
NoLogicTaken,0,0,9,2,19,0,5,26,8,2,0,7,0,0,0,0,2,3,0,7,46,1,27,2,42,0,0,9,0,0,0,15,0,10,0,0,6
DarthPlagg,0,0,49,26,91,0,15,98,53,15,1,50,4,1,0,0,18,3,1,13,201,4,139,5,177,0,0,37,1,1,6,71,1,48,2,13,31
KGB,6,1,60,28,139,1,17,146,46,18,1,66,6,1,0,2,18,15,3,16,296,3,183,1,236,1,0,51,2,2,4,84,0,60,2,4,42
gopikrishna9968,0,0,10,30,52,0,6,47,19,4,0,21,2,0,0,0,13,4,0,7,127,1,57,1,118,0,0,40,0,0,4,35,0,20,1,2,13
A_M_Arka,6,0,35,15,82,0,13,101,28,16,1,42,4,1,0,1,18,11,1,11,196,2,174,2,183,0,0,31,0,0,4,65,0,65,1,10,18
Abhishek_2025,1,0,14,18,57,0,4,65,28,17,1,25,5,0,0,1,10,3,3,15,127,1,70,1,104,0,0,24,1,0,2,45,1,19,0,21,21
Maxim_um,0,0,2,5,6,0,0,7,0,0,0,4,0,0,0,0,3,0,0,0,24,0,9,0,21,0,0,3,0,0,0,5,0,3,0,0,2
Omarfarukshaon,22,0,15,13,71,0,5,71,13,2,0,20,1,2,0,1,10,9,2,4,128,2,161,0,146,0,0,37,1,0,1,45,0,44,0,1,6
EArias,0,0,2,4,5,0,0,7,0,1,0,1,0,0,0,1,0,2,1,1,16,0,6,0,10,0,0,2,0,0,0,6,0,4,0,1,0
zzwwxx,0,0,5,4,11,0,1,7,1,1,0,3,0,0,0,0,0,1,0,1,26,0,11,1,12,0,0,4,0,0,0,7,0,2,0,0,5
a_NAN_d,2,0,114,41,202,0,34,216,114,46,8,134,20,0,0,0,29,29,5,40,461,8,330,0,394,1,0,104,2,1,14,152,2,73,5,28,69
sandeep172918,3,2,79,45,155,2,31,145,68,15,9,109,8,0,0,1,18,16,3,17,309,5,146,9,291,3,0,90,8,2,4,87,2,48,3,7,42
bodia335,3,0,3,4,15,0,0,6,2,0,0,2,1,0,0,0,5,1,0,0,26,0,42,0,39,0,0,4,0,0,0,7,0,7,2,0,2
skp0114,0,0,8,7,37,0,2,30,4,1,0,10,1,0,0,0,11,2,0,0,90,0,39,0,72,0,0,12,0,0,0,23,0,21,0,0,6
012345543210,0,0,3,2,10,0,0,6,4,0,0,2,0,0,0,0,1,0,0,0,26,0,7,0,12,0,0,2,0,0,0,10,0,5,0,0,4
Purav_Shah07,3,0,48,31,120,2,12,116,37,19,0,50,9,0,0,0,18,16,4,14,277,6,217,7,281,2,0,89,2,1,4,91,1,40,1,10,40
Maqa_2010,1,0,11,9,41,0,1,22,5,10,0,14,4,0,0,0,3,2,0,8,71,1,64,0,69,0,0,18,0,0,3,24,0,27,1,1,8
y15389097039,1,0,4,8,11,0,2,12,2,0,0,6,0,0,0,0,3,1,2,1,41,3,18,1,30,1,0,5,0,0,1,12,0,7,0,1,4
d.chaudhary,1,1,17,15,56,1,7,69,21,2,1,18,1,0,1,1,8,9,0,3,155,3,75,2,137,0,0,29,1,1,1,47,0,29,1,2,23
Kya_Baat_Haii,0,0,55,26,92,1,22,98,29,10,2,51,5,0,0,0,12,20,1,9,223,3,97,6,226,2,0,68,3,0,3,55,2,29,2,6,34
bloodreaper_7,0,0,26,10,21,0,4,21,14,1,0,15,3,0,0,0,2,1,0,1,59,1,22,5,42,0,0,16,0,1,0,18,0,11,2,0,16
Princeraj969,0,0,11,4,24,0,2,22,5,0,0,5,0,0,0,0,2,5,0,0,52,1,22,2,46,0,0,13,0,0,0,7,0,14,4,0,6
Vickram_T_G,0,0,2,6,8,0,0,7,2,0,0,4,1,0,0,0,3,0,0,0,26,0,13,0,16,0,0,2,0,0,0,3,0,4,0,1,1
__abhineet__,2,0,9,12,53,0,4,60,10,1,0,4,0,0,0,0,5,7,1,1,117,1,113,0,124,0,0,26,0,0,1,40,0,42,1,1,8
akshryn.05,3,0,23,17,69,0,11,55,20,1,0,19,0,0,0,0,8,6,2,3,151,4,109,3,143,0,0,38,0,0,1,58,0,34,0,0,22
Turaka,1,0,51,51,141,1,20,175,51,7,0,63,10,0,0,1,31,13,2,12,353,3,194,2,319,1,0,78,2,1,1,103,0,53,5,5,39
7teend,0,0,4,9,10,0,4,17,6,1,1,17,2,0,0,0,4,2,1,3,45,1,17,0,28,0,0,6,1,0,3,9,1,8,0,2,3
abhi9av_pandey,0,0,18,9,50,0,4,54,17,0,0,13,1,0,0,0,8,0,0,1,110,0,57,0,109,1,0,26,0,0,0,36,0,21,0,0,17
Celeb17,0,0,8,7,14,0,2,16,7,1,0,9,0,0,0,0,6,1,0,1,59,0,24,0,38,2,0,7,0,0,0,15,0,8,0,1,7
js_chatura,0,1,72,47,112,1,28,123,91,37,8,104,19,0,0,3,18,8,2,40,258,1,125,11,178,1,0,48,0,2,10,80,2,37,2,29,52
Sahil_Deo,0,0,16,13,26,0,4,35,15,9,2,22,3,0,1,0,5,3,1,4,67,1,35,3,61,0,0,22,1,0,2,23,0,8,0,7,10
LEGENDKILLER_24_11,0,0,5,7,15,0,7,21,3,5,0,6,1,0,0,2,4,3,0,3,34,0,35,0,42,0,0,5,0,0,0,17,0,11,0,3,5
Lye_Jheal,0,0,5,9,22,0,1,24,6,1,1,5,1,0,0,0,0,3,0,3,59,1,20,1,44,0,0,8,0,0,0,14,0,9,0,2,6
The_Last_Run,3,2,86,47,212,2,32,209,80,19,3,101,10,1,0,1,43,22,2,22,467,7,333,7,426,0,1,92,2,1,5,144,2,111,5,8,52
zhan8,0,0,6,7,20,0,1,18,3,0,0,4,1,0,0,0,3,2,0,1,51,1,24,1,29,0,0,6,0,0,0,13,0,7,0,1,6
DigiTalDreamar,12,2,159,73,296,1,48,269,150,51,8,165,21,1,2,0,45,35,6,51,594,14,455,26,536,4,1,126,7,5,12,207,4,129,6,30,94
Kovid,1,0,98,56,155,0,39,179,94,39,6,141,12,0,0,3,47,15,1,34,356,10,235,1,318,2,0,91,6,2,10,121,0,93,2,51,69
rushil_a_,5,0,9,6,49,0,3,60,14,2,0,17,4,0,0,0,4,8,0,4,144,1,116,0,118,0,0,22,1,1,1,41,0,37,1,4,6
abhinav_771,1,0,25,17,33,0,7,33,26,7,2,28,6,0,0,0,5,3,0,7,98,2,32,2,71,1,0,24,0,0,3,39,0,15,0,5,19
ttakk,0,0,103,63,240,1,34,279,98,30,6,98,14,0,0,1,39,28,3,23,577,8,379,12,504,1,1,86,3,2,4,179,0,125,3,14,73
practice_47,0,0,26,9,52,0,8,53,23,21,1,38,14,0,0,1,10,10,3,30,110,3,47,4,80,1,0,16,1,0,4,28,0,18,0,15,14
manikya_sharma,2,1,51,31,119,0,13,151,43,15,2,46,10,0,0,0,21,22,1,19,311,2,135,6,236,2,0,46,3,1,2,91,1,44,2,8,36
_sumit_manjhi,0,0,1,3,5,0,0,8,1,0,0,1,0,0,0,0,3,0,0,0,16,0,10,0,14,0,0,0,0,0,0,2,0,3,0,0,1
Agarwal_Sh,0,1,15,19,51,1,13,51,20,3,1,31,3,0,0,0,7,9,0,6,118,2,63,1,136,1,1,34,3,1,0,41,0,15,1,4,11
boderline,0,0,16,14,35,0,7,44,20,6,1,23,6,0,0,0,9,5,0,7,99,1,38,3,77,0,0,25,1,0,3,29,0,12,0,4,11
UllasDas004,1,0,26,24,53,0,9,53,23,4,0,28,1,0,0,1,5,7,0,2,136,2,51,2,122,0,0,34,1,1,1,48,0,25,0,4,25
Aayushya,1,0,10,8,34,0,1,29,5,1,0,14,0,1,0,0,3,2,1,3,72,1,56,0,52,1,0,13,0,0,2,22,0,15,0,1,9
Aviraj29,0,0,27,23,53,0,13,60,34,9,1,38,3,0,0,1,10,7,0,8,159,3,61,0,133,1,0,39,0,0,3,63,0,27,0,7,33
_agrawal_,0,0,7,3,8,0,1,16,4,2,0,3,0,0,0,0,2,0,0,2,38,0,14,1,23,0,0,5,0,1,0,13,0,6,0,1,7
Rakib731,29,2,77,44,176,1,27,173,60,18,5,77,8,2,0,1,30,15,2,18,369,6,258,4,347,1,0,72,4,2,6,141,2,100,4,9,52
NooB__C0der,1,0,53,7,88,1,12,104,52,9,1,36,7,0,0,0,15,20,3,13,248,6,177,0,197,3,0,45,1,1,5,83,0,44,5,6,35
ozwonek,0,0,9,5,17,0,3,20,3,1,1,3,1,0,0,0,5,3,1,0,46,0,11,1,34,1,0,6,0,0,0,16,0,8,0,1,5
Arman0604,1,1,81,45,130,0,21,170,59,16,3,55,4,0,0,1,26,15,4,14,362,3,170,1,297,1,0,70,1,1,2,126,0,59,4,12,61
Adarsh_Jupudi,0,0,29,19,42,0,5,50,21,4,2,22,4,0,0,1,10,4,0,4,128,2,47,3,100,0,0,26,0,1,0,45,0,17,0,4,21
DivineComedy,1,0,3,3,7,0,2,9,6,1,0,3,1,0,0,0,0,1,0,1,22,0,9,1,13,0,0,5,0,1,0,4,0,2,0,0,4
Abhiraj2027,0,0,2,5,24,0,2,15,4,0,0,5,0,0,0,0,4,1,0,0,39,1,18,0,39,0,0,6,0,0,0,9,0,11,0,0,5
caramel29,0,0,4,3,16,0,0,14,3,0,0,2,0,0,0,0,2,1,0,1,40,1,18,0,27,0,0,4,0,0,0,9,0,8,0,0,2
Atul55,2,0,55,27,109,0,20,107,57,16,2,63,5,0,0,0,15,14,5,17,263,3,186,1,248,1,0,63,0,0,7,107,0,56,1,9,45
nicks10905,0,0,52,32,70,0,12,80,44,6,2,44,3,0,0,0,12,5,1,5,205,1,95,7,151,1,0,33,0,0,2,65,0,30,0,6,33
mr.ahmadabdullah123,2,0,13,8,57,0,3,26,13,1,0,21,0,1,0,0,13,4,1,3,94,2,147,0,115,0,0,27,1,0,2,42,0,48,0,2,6
Angryclaws,3,1,29,16,73,0,10,90,25,1,0,22,3,1,0,0,12,11,2,3,183,1,106,0,171,2,0,37,1,1,2,57,0,36,2,4,14
chalysqan,0,0,2,4,7,0,1,11,3,7,0,6,2,0,0,0,0,0,0,3,32,1,15,0,17,0,0,5,0,0,3,11,0,8,0,1,1
Labib_Rafid,7,0,89,33,208,1,25,204,93,44,4,96,14,1,0,1,38,17,3,33,451,4,328,10,410,0,1,97,3,1,6,150,0,110,6,30,59
aryan23147,0,0,68,28,98,1,18,123,54,10,3,51,6,0,0,1,26,15,1,12,275,3,126,5,228,0,0,49,0,0,3,88,0,41,3,8,42
SpeMars,2,0,18,17,24,0,9,41,32,14,4,37,6,0,2,1,4,4,1,13,64,1,41,4,58,5,0,17,3,0,2,26,2,13,1,13,8
PrantoBala,3,0,127,73,209,1,46,235,98,10,1,124,7,0,0,2,33,11,2,10,483,7,295,0,432,2,1,126,1,1,3,178,0,96,4,5,87
YeasyLi,1,3,104,49,152,0,33,152,99,39,10,111,15,0,1,2,22,21,6,42,324,10,149,6,240,3,0,60,4,3,9,95,2,40,7,31,56
gummadivikhyath9,0,0,0,4,10,0,2,14,0,2,0,4,0,0,0,0,4,0,0,0,28,0,25,0,24,0,0,4,0,0,0,7,0,10,0,1,4
hoangdiepso,1,0,11,6,24,1,2,17,18,7,1,33,8,0,0,1,2,0,1,6,48,0,32,0,39,0,0,6,0,0,2,12,1,12,1,9,6
prakharpratapsingh69,0,1,11,11,17,0,3,36,8,3,4,15,0,0,0,0,5,2,0,6,62,0,31,6,46,0,0,10,1,0,1,19,0,10,3,3,13
knight22-21,0,0,2,2,4,0,0,3,2,0,0,2,0,0,0,0,0,1,0,0,8,0,4,0,7,0,0,1,0,0,0,3,0,2,0,0,0
NSR_55,5,1,85,51,187,1,24,162,85,54,3,89,23,0,0,0,29,19,4,58,383,5,284,1,342,0,0,101,2,1,17,127,1,72,3,26,55
harikumar3868,0,0,35,23,75,0,7,62,36,11,1,28,7,0,0,1,15,8,2,12,150,2,84,4,126,0,0,29,2,1,3,41,0,24,1,9,18
Nabeelop2323,0,0,3,5,12,0,2,11,4,0,0,5,0,0,0,0,1,0,0,0,32,1,14,0,26,0,0,6,0,1,0,17,0,6,0,0,5
AnVill,0,0,39,24,63,0,9,59,30,2,1,36,1,0,0,1,9,10,1,2,166,2,74,4,146,1,0,39,0,0,3,62,0,21,1,3,33
tejazzz,0,0,26,20,63,0,6,80,17,4,2,20,5,0,0,0,13,10,1,7,156,2,65,8,124,0,0,25,4,1,1,33,0,22,1,6,15
pantent114,0,0,0,2,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,9,0,6,0,8,0,0,0,0,0,0,1,0,2,0,0,0
rhisea,0,0,4,5,17,0,1,9,6,1,0,7,2,0,0,0,5,1,0,1,36,1,21,0,21,0,0,4,0,0,0,15,0,7,0,2,4
debojit11070,2,0,1,3,18,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,25,0,28,0,22,0,0,4,1,0,0,7,0,11,0,0,2
Asim020202,7,1,57,17,118,0,7,91,49,18,1,49,8,1,0,0,13,9,1,14,229,4,205,1,209,0,0,64,3,0,7,80,0,64,3,6,27
RMSX17,0,0,0,4,5,0,0,3,0,1,0,0,2,0,0,0,2,2,0,0,15,0,7,0,16,0,0,1,0,0,0,3,0,3,0,1,0
azam_109,2,0,48,23,90,0,18,100,47,11,1,52,5,0,0,1,15,14,1,11,236,2,99,3,195,1,0,39,0,0,1,96,0,42,2,9,44
Kiseki_,1,0,9,6,25,0,0,19,6,0,0,5,2,0,0,0,3,1,0,0,50,0,36,0,40,0,0,8,0,0,0,12,0,8,0,0,5
Parmida,5,0,22,14,51,1,10,47,19,26,3,47,7,0,0,2,8,8,3,24,104,0,83,2,90,0,0,18,1,0,6,26,1,26,1,10,17
